#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-48.987346,100,21.996098
-44.502048,100,22.020689
-46.452513,100,22.045717
-44.822325,100,22.063127
-47.503733,100,22.080637
-38.348987,100,22.744821
-44.647977,100,22.768685
-43.87919,100,22.786958
-46.875366,100,22.811461
-44.965652,100,22.837983
-40.612018,100,22.862459
-45.028947,100,22.878658
-48.220002,100,22.902257
-46.020405,100,22.920614
-47.683432,100,22.945774
-48.445944,100,22.978287
-47.138334,100,22.997232
-43.182318,100,23.014919
-47.143397,100,23.039894
-23.320981,57,23.045613
-42.324603,100,23.070312
-49.606319,100,23.086664
-49.192395,100,23.103682
-2.277415,6,23.112007
-49.09284,100,23.128319
-43.831599,100,23.145509
-46.439542,100,23.165828
-46.280516,100,23.886521
-48.178458,100,23.911632
-41.211272,100,23.928192
-40.380222,100,23.956404
-36.934522,100,23.96981
-37.27663,100,23.997183
-37.404797,100,24.015834
-43.306306,100,24.028682
-44.98126,100,24.056568
-43.571467,100,24.082158
-44.422078,100,24.101173
-45.426991,100,24.136544
-49.226785,100,24.154447
-44.724603,100,24.178585
-0.14205,2,24.178585
-41.768834,100,24.198994
-42.473695,100,24.222151
-47.759928,100,24.244843
-41.934562,100,24.264204
-41.709603,100,24.278632
-40.951056,100,24.303698
-43.109551,100,24.328226
-45.17353,100,25.020399
-43.177864,100,25.045246
-43.618675,100,25.066993
-44.600757,100,25.087009
-47.535811,100,25.112992
-44.211421,100,25.128687
-41.723653,100,25.159962
-38.012349,100,25.178756
-40.268564,100,25.199084
-40.523159,100,25.218849
-36.362603,100,25.236556
-44.709439,100,25.254378
-41.523662,100,25.269851
-43.832583,100,25.287069
-39.866824,100,25.303906
-47.926126,100,25.328752
-42.155342,100,25.345391
-37.485486,100,25.369822
-39.167229,100,25.397136
-40.552817,100,25.419979
-42.566427,100,26.110328
-33.908195,100,26.12886
-40.476994,100,26.157281
-46.261715,100,26.178783
-47.810709,100,26.203132
-41.521361,100,26.220404
-44.245357,100,26.244123
-33.573778,100,26.263877
-39.624221,100,26.28095
-47.940763,100,26.303973
-47.472766,100,26.320343
-46.017411,100,26.337843
-43.031736,100,26.358639
